grid_id,region_name
0_0,Zug
100_0,Valais
100_1,Valais
101_0,Valais
101_1,Valais
102_0,Valais
103_0,Valais
104_0,Valais
105_0,Valais
106_0,Valais
107_0,Bern
107_1,Bern
108_0,Valais
109_0,Valais
10_0,Zürich
10_1,St. Gallen
110_0,Vaud
110_1,Valais
111_0,Valais
112_0,Valais
113_0,Valais
113_1,Valais
114_0,Valais
115_0,Valais
116_0,Valais
117_0,Valais
118_0,Bern
119_0,Bern
119_1,Fribourg
11_0,Uri
11_1,Uri
120_0,Fribourg
121_0,Bern
122_0,Bern
122_1,Bern
123_0,Bern
124_0,Luzern
125_0,Luzern
126_0,Luzern
127_0,Schwyz
128_0,Luzern
129_0,Luzern
129_1,Bern
12_0,Uri
12_1,Uri
130_0,Luzern
131_0,Luzern
132_0,Uri
133_0,Schwyz
134_0,Schwyz
135_0,Schwyz
136_0,Obwalden
136_1,Nidwalden
137_0,Obwalden
138_0,Obwalden
138_1,Obwalden
138_2,Obwalden
138_3,Obwalden
139_0,Bern
13_0,Glarus
140_0,Obwalden
141_0,Obwalden
142_0,Nidwalden
143_0,Nidwalden
143_1,Nidwalden
144_0,Glarus
145_0,Glarus
146_0,Vaud
147_0,Bern
148_0,Appenzell Innerrhoden
149_0,St. Gallen
14_0,Uri
150_0,St. Gallen
151_0,Graubünden
152_0,Glarus
153_0,St. Gallen
153_1,St. Gallen
154_0,St. Gallen
155_0,St. Gallen
155_1,St. Gallen
156_0,St. Gallen
157_0,Graubünden
158_0,Graubünden
159_0,Graubünden
15_0,Schwyz
160_0,Graubünden
161_0,Graubünden
162_0,Graubünden
163_0,Graubünden
164_0,Graubünden
165_0,Graubünden
166_0,Graubünden
167_0,Graubünden
168_0,Graubünden
169_0,Graubünden
16_0,Schwyz
16_1,Schwyz
170_0,Graubünden
171_0,Graubünden
172_0,Graubünden
173_0,Graubünden
174_0,Graubünden
175_0,Graubünden
176_0,Graubünden
177_0,Graubünden
178_0,Graubünden
179_0,Graubünden
17_0,Schwyz
180_0,Graubünden
181_0,Bern
181_1,Bern
182_0,Bern
183_0,Bern
184_0,Bern
185_0,Ticino
186_0,Ticino
187_0,Ticino
188_0,Ticino
