grid_id,region_name
1-1_0_7,Aeugst am Albis
1-2_0_3,Aeugst am Albis
1-2_1_5,Aeugst am Albis
1-3_0_11,Aeugst am Albis
1-4_0_3,Aeugst am Albis
10-1_0_8,Obfelden
10-2_0_5,Obfelden
10-3_0_6,Obfelden
10-4_0_4,Obfelden
10-4_1_4,Obfelden
10-5_0_6,Obfelden
10-6_0_8,Obfelden
10-7_0_3,Obfelden
10-7_1_2,Obfelden
10-8_0_7,Obfelden
10-9_0_3,Obfelden
100-1_0_4,Stadel
100-1_1_3,Stadel
100-2_0_4,Stadel
100-2_1_3,Stadel
100-3_0_5,Stadel
100-4_0_5,Stadel
100-5_0_2,Stadel
1001-1_0_3,Doppleschwand
1001-1_1_3,Doppleschwand
1001-1_2_2,Doppleschwand
1001-2_0_2,Doppleschwand
1001-3_0_4,Doppleschwand
1002-10_0_3,Entlebuch
1002-11_0_3,Entlebuch
1002-12_0_2,Entlebuch
1002-13_0_4,Entlebuch
1002-14_0_3,Entlebuch
1002-15_0_4,Entlebuch
1002-16_0_3,Entlebuch
1002-17_0_2,Entlebuch
1002-1_0_2,Entlebuch
1002-1_1_4,Entlebuch
1002-2_0_4,Entlebuch
1002-2_1_4,Entlebuch
1002-3_0_6,Entlebuch
1002-4_0_5,Entlebuch
1002-5_0_2,Entlebuch
1002-5_1_3,Entlebuch
1002-5_2_4,Entlebuch
1002-6_0_3,Entlebuch
1002-7_0_3,Entlebuch
1002-7_1_3,Entlebuch
1002-8_0_4,Entlebuch
1002-9_0_2,Entlebuch
1004-10_0_3,Flühli
1004-10_1_2,Flühli
1004-10_2_4,Flühli
1004-10_3_1,Flühli
1004-10_4_3,Flühli
1004-11_0_4,Flühli
1004-12_0_3,Flühli
1004-13_0_3,Flühli
1004-14_0_4,Flühli
1004-1_0_4,Flühli
1004-1_1_4,Flühli
1004-2_0_3,Flühli
1004-3_0_3,Flühli
1004-4_0_6,Flühli
1004-5_0_2,Flühli
1004-5_1_1,Flühli
1004-6_0_3,Flühli
1004-7_0_3,Flühli
1004-7_1_3,Flühli
1004-8_0_3,Flühli
1004-9_0_3,Flühli
1005-1_0_3,Hasle (LU)
1005-1_1_2,Hasle (LU)
1005-1_2_2,Hasle (LU)
1005-1_3_2,Hasle (LU)
1005-2_0_2,Hasle (LU)
1005-3_0_3,Hasle (LU)
1005-4_0_4,Hasle (LU)
1005-5_0_3,Hasle (LU)
1005-6_0_3,Hasle (LU)
1005-7_0_4,Hasle (LU)
1007-1_0_2,Romoos
1007-2_0_5,Romoos
1007-3_0_2,Romoos
1008-10_0_3,Schüpfheim
1008-11_0_2,Schüpfheim
1008-12_0_3,Schüpfheim
1008-13_0_3,Schüpfheim
1008-14_0_2,Schüpfheim
1008-15_0_2,Schüpfheim
1008-16_0_2,Schüpfheim
1008-17_0_3,Schüpfheim
1008-18_0_2,Schüpfheim
1008-19_0_3,Schüpfheim
1008-19_1_2,Schüpfheim
1008-1_0_3,Schüpfheim
1008-20_0_3,Schüpfheim
1008-21_0_3,Schüpfheim
1008-22_0_5,Schüpfheim
1008-23_0_2,Schüpfheim
1008-24_0_3,Schüpfheim
1008-25_0_2,Schüpfheim
1008-26_0_4,Schüpfheim
1008-2_0_3,Schüpfheim
1008-3_0_7,Schüpfheim
1008-4_0_4,Schüpfheim
1008-5_0_4,Schüpfheim
1008-6_0_2,Schüpfheim
1008-6_1_2,Schüpfheim
1008-6_2_3,Schüpfheim
1008-7_0_4,Schüpfheim
1008-7_1_1,Schüpfheim
1008-7_2_3,Schüpfheim
1008-8_0_3,Schüpfheim
1008-9_0_4,Schüpfheim
1009-10_0_3,Werthenstein
1009-11_0_3,Werthenstein
1009-12_0_3,Werthenstein
1009-12_1_2,Werthenstein
1009-12_2_3,Werthenstein
1009-13_0_2,Werthenstein
1009-14_0_4,Werthenstein
1009-1_0_3,Werthenstein
1009-2_0_4,Werthenstein
1009-3_0_4,Werthenstein
1009-4_0_4,Werthenstein
1009-4_1_2,Werthenstein
1009-5_0_2,Werthenstein
1009-6_0_2,Werthenstein
1009-7_0_4,Werthenstein
1009-8_0_4,Werthenstein
1009-8_1_3,Werthenstein
1009-9_0_3,Werthenstein
101-1_0_5,Steinmaur
101-2_0_6,Steinmaur
101-3_0_5,Steinmaur
101-4_0_2,Steinmaur
101-4_1_4,Steinmaur
101-4_2_2,Steinmaur
101-5_0_4,Steinmaur
101-6_0_6,Steinmaur
1010-10_0_3,Escholzmatt-Marbach
1010-11_0_2,Escholzmatt-Marbach
1010-12_0_4,Escholzmatt-Marbach
1010-12_1_1,Escholzmatt-Marbach
1010-13_0_2,Escholzmatt-Marbach
1010-13_1_2,Escholzmatt-Marbach
1010-14_0_4,Escholzmatt-Marbach
1010-15_0_3,Escholzmatt-Marbach
1010-15_1_3,Escholzmatt-Marbach
1010-16_0_4,Escholzmatt-Marbach
1010-16_1_4,Escholzmatt-Marbach
1010-17_0_3,Escholzmatt-Marbach
1010-1_0_3,Escholzmatt-Marbach
1010-1_1_4,Escholzmatt-Marbach
1010-2_0_3,Escholzmatt-Marbach
1010-2_1_3,Escholzmatt-Marbach
1010-3_0_2,Escholzmatt-Marbach
1010-4_0_2,Escholzmatt-Marbach
1010-4_1_2,Escholzmatt-Marbach
1010-4_2_3,Escholzmatt-Marbach
1010-4_3_2,Escholzmatt-Marbach
1010-5_0_3,Escholzmatt-Marbach
1010-6_0_3,Escholzmatt-Marbach
1010-6_1_3,Escholzmatt-Marbach
1010-7_0_4,Escholzmatt-Marbach
1010-8_0_4,Escholzmatt-Marbach
1010-9_0_3,Escholzmatt-Marbach
102-1_0_2,Weiach
102-2_0_2,Weiach
102-3_0_4,Weiach
102-4_0_4,Weiach
1021-1_0_2,Aesch (LU)
1021-1_1_2,Aesch (LU)
1021-2_0_3,Aesch (LU)
1021-3_0_4,Aesch (LU)
1021-4_0_5,Aesch (LU)
1021-5_0_4,Aesch (LU)
1021-6_0_6,Aesch (LU)
1021-7_0_2,Aesch (LU)
1023-1_0_2,Ballwil
1023-1_1_2,Ballwil
1023-1_2_2,Ballwil
1023-1_3_3,Ballwil
1023-2_0_4,Ballwil
1023-2_1_2,Ballwil
1023-3_0_5,Ballwil
1023-4_0_3,Ballwil
1023-5_0_4,Ballwil
1023-6_0_5,Ballwil
1023-7_0_4,Ballwil
1024-10_0_6,Emmen
1024-11_0_6,Emmen
1024-12_0_8,Emmen
1024-13_0_5,Emmen
1024-14_0_2,Emmen
1024-14_1_3,Emmen
1024-15_0_4,Emmen
1024-16_0_4,Emmen
1024-17_0_4,Emmen
1024-18_0_6,Emmen
1024-19_0_4,Emmen
1024-1_0_2,Emmen
1024-1_1_4,Emmen
1024-20_0_3,Emmen
1024-21_0_3,Emmen
1024-21_1_3,Emmen
1024-22_0_4,Emmen
1024-23_0_5,Emmen
1024-24_0_4,Emmen
1024-25_0_4,Emmen
1024-26_0_5,Emmen
1024-27_0_4,Emmen
1024-28_0_4,Emmen
1024-29_0_3,Emmen
1024-2_0_5,Emmen
1024-30_0_4,Emmen
1024-31_0_5,Emmen
1024-32_0_2,Emmen
1024-33_0_6,Emmen
1024-34_0_6,Emmen
1024-35_0_4,Emmen
