F_BUS,T_BUS,BR_R,BR_X,BR_B,RATE_A,RATE_B,RATE_C,TAP,SHIFT,BR_STATUS,ANGMIN,ANGMAX
1,2,5.179879857638409,3.3151231088885824,8.698412901147083e-09,0,0,0,0,0,1,-90,90
1,3,5.470354522022034,3.501026894094102,9.186198069446882e-09,0,0,0,0,0,1,-90,90
2,5,8.768327280149153,5.611729459295458,1.4724382269727446e-08,0,0,0,0,0,1,-90,90
3,6,1.161683404550961,0.743477378912615,1.950779205485567e-09,0,0,0,0,0,1,-90,90
3,7,0.7860441394270645,0.5030682492333213,1.3199797430013536e-09,0,0,0,0,0,1,-90,90
5,58,10.760173073467755,6.886510767019363,1.8069227637163674e-08,0,0,0,0,0,1,-90,90
6,16,2.332109192816694,1.4925498834026845,7.832478454019201e-09,0,0,0,0,0,1,-90,90
7,45,1.8011434757697304,1.1527318244926275,3.024604831972918e-09,0,0,0,0,0,1,-90,90
4,14,2.5107997733276552,1.6069118549296995,4.21630882197095e-09,0,0,0,0,0,1,-90,90
14,15,6.545867094192328,4.18935494028309,1.099227324690808e-08,0,0,0,0,0,1,-90,90
58,59,8.277568855928346,5.297644067794142,1.3900266744674494e-08,0,0,0,0,0,1,-90,90
16,17,0.8175781249999998,0.5232499999999999,5.491735179694264e-09,0,0,0,0,0,1,-90,90
16,18,0.700234375,0.4481499999999999,4.703528181137094e-09,0,0,0,0,0,1,-90,90
15,66,4.042018628833051,2.5868919224531526,6.7876375425718614e-09,0,0,0,0,0,1,-90,90
18,20,0.2770665034758499,0.17732256222454393,1.861077024600197e-09,0,0,0,0,0,1,-90,90
18,25,0.6651562499999999,0.4256999999999999,1.1169764290472278e-09,0,0,0,0,0,1,-90,90
8,9,0.9243449652095673,0.5915807777341231,1.5522240653193391e-09,0,0,0,0,0,1,-90,90
9,11,0.9059124787696651,0.5797839864125857,1.5212709578621015e-09,0,0,0,0,0,1,-90,90
11,55,0.584049573035861,0.3737917267429511,9.807764814299714e-10,0,0,0,0,0,1,-90,90
10,12,0.24554687499999994,0.15714999999999998,4.123393136593185e-10,0,0,0,0,0,1,-90,90
10,13,1.135679693145737,0.7268350036132716,1.907111972850555e-09,0,0,0,0,0,1,-90,90
12,44,0.8916360459458754,0.5706470694053603,1.4972969833936224e-09,0,0,0,0,0,1,-90,90
12,41,0.8634116303125375,0.5525834434000241,1.4499005904617805e-09,0,0,0,0,0,1,-90,90
13,47,1.164984078763681,0.7455898104087558,1.9563219261554426e-09,0,0,0,0,0,1,-90,90
55,53,1.1203002122170753,0.7169921358189283,1.8812856836315988e-09,0,0,0,0,0,1,-90,90
44,61,1.667380337206472,1.067123415812142,2.7999805082135935e-09,0,0,0,0,0,1,-90,90
47,50,0.045781249999999996,0.029299999999999993,7.687904479935113e-11,0,0,0,0,0,1,-90,90
47,35,2.0478906249999995,1.3106499999999999,3.438959729224217e-09,0,0,0,0,0,1,-90,90
53,51,0.9936284118881338,0.6359221836084056,1.668569626024977e-09,0,0,0,0,0,1,-90,90
50,52,1.4606249999999998,0.9347999999999999,2.4527826306632576e-09,0,0,0,0,0,1,-90,90
50,48,1.2329075465727837,0.7890608298065815,2.070383716181344e-09,0,0,0,0,0,1,-90,90
35,46,0.755931388586636,0.48379608869544705,2.5388246536906578e-09,0,0,0,0,0,1,-90,90
35,33,1.2137220101579314,0.7767820865010762,2.038166035066542e-09,0,0,0,0,0,1,-90,90
66,54,1.142712497602882,0.7313359984658444,1.918921945031872e-09,0,0,0,0,0,1,-90,90
66,64,0.15203124999999998,0.09729999999999998,2.5530140133026847e-10,0,0,0,0,0,1,-90,90
54,51,1.886079298325554,1.2070907509283546,3.1672349459898767e-09,0,0,0,0,0,1,-90,90
64,67,5.732421874999998,3.6687499999999993,9.62627971357063e-09,0,0,0,0,0,1,-90,90
64,62,2.3633531897325906,1.5125460414288578,3.9687063099006965e-09,0,0,0,0,0,1,-90,90
20,19,0.015844911922036128,0.010140743630103123,1.0643149267405226e-10,0,0,0,0,0,1,-90,90
25,27,9.624999999999998,6.159999999999999,1.616296641515369e-08,0,0,0,0,0,1,-90,90
19,21,0.41792880102257585,0.26747443265444854,2.8072599168221683e-09,0,0,0,0,0,1,-90,90
27,69,11.451533640342284,7.328981529819062,1.9230208169439482e-08,0,0,0,0,0,1,-90,90
21,22,1.0123079622890996,0.6478770958650236,1.699937620391832e-09,0,0,0,0,0,1,-90,90
21,23,0.6999827314263064,0.4479889481128361,4.701837871888181e-09,0,0,0,0,0,1,-90,90
22,30,0.7733715825140621,0.4949578128089998,1.2986991080113294e-09,0,0,0,0,0,1,-90,90
23,46,0.07881568401769674,0.050442037771325915,5.294110145518536e-10,0,0,0,0,0,1,-90,90
