F_BUS,T_BUS,BR_R,BR_X,BR_B,RATE_A,RATE_B,RATE_C,TAP,SHIFT,BR_STATUS,ANGMIN,ANGMAX
1,2,4.846610765876588,1.8640810637986878,4.891084355406193e-09,0,0,0,0,0,1,-90,90
1,3,5.091131487206065,1.9581274950792555,5.137848853823868e-09,0,0,0,0,0,1,-90,90
2,14,10.274989993163157,3.9519192281396758,1.0369275610360659e-08,0,0,0,0,0,1,-90,90
3,4,8.954548055396504,3.4440569443832714,9.036717000640202e-09,0,0,0,0,0,1,-90,90
14,35,24.69640309868602,9.498616576417701,2.4923022843354126e-08,0,0,0,0,0,1,-90,90
14,15,9.650247072459274,3.7116334894074132,9.738799908222683e-09,0,0,0,0,0,1,-90,90
4,10,1.7577257491069163,0.6760483650411216,1.7738550355810406e-09,0,0,0,0,0,1,-90,90
30,27,12.366467196267697,4.756333537026038,1.2479944678282628e-08,0,0,0,0,0,1,-90,90
30,13,6.16653364350908,2.3717437090419544,6.223119141980058e-09,0,0,0,0,0,1,-90,90
30,26,7.336055361362858,2.82155975437033,7.403372653934567e-09,0,0,0,0,0,1,-90,90
27,10,8.884609783683207,3.417157609108926,8.966136959628968e-09,0,0,0,0,0,1,-90,90
13,11,1.9681512870795799,0.756981264261377,1.98621148557747e-09,0,0,0,0,0,1,-90,90
35,36,8.788707165116364,3.3802719865832174,8.869354317082693e-09,0,0,0,0,0,1,-90,90
5,6,1.392641611841822,0.5356313891699315,1.4054208042298244e-09,0,0,0,0,0,1,-90,90
5,7,2.5438647332204507,0.9784095127770966,2.567207807675827e-09,0,0,0,0,0,1,-90,90
6,8,3.9719122492449386,1.5276585574018997,4.008359408621597e-09,0,0,0,0,0,1,-90,90
7,9,3.7208546885594598,1.4310979571382538,3.754998087341015e-09,0,0,0,0,0,1,-90,90
8,11,4.0665520621589355,1.5640584854457444,4.1038676577265765e-09,0,0,0,0,0,1,-90,90
9,21,0.1528354545271241,0.05878286712581696,1.5423790700341257e-10,0,0,0,0,0,1,-90,90
11,12,0.8898499999999999,0.34224999999999994,8.980154635692125e-10,0,0,0,0,0,1,-90,90
12,25,6.4924599999999995,2.4970999999999997,6.5520362719610825e-09,0,0,0,0,0,1,-90,90
12,23,7.211615591213269,2.773698304312796,7.277790996489685e-09,0,0,0,0,0,1,-90,90
23,24,4.229203556043006,1.6266167523242334,4.268011678269959e-09,0,0,0,0,0,1,-90,90
24,20,3.138538818779742,1.2071303149152852,3.1673387562807873e-09,0,0,0,0,0,1,-90,90
31,36,11.601456999014966,4.462098845774987,1.1707914575544993e-08,0,0,0,0,0,1,-90,90
31,32,84.99564330500283,32.6906320403857,8.577558242839305e-08,0,0,0,0,0,1,-90,90
32,33,1.2990560028459177,0.4996369241715069,1.3109764326549927e-09,0,0,0,0,0,1,-90,90
16,17,0.6687182675925483,0.25719933368944164,6.748545766919403e-10,0,0,0,0,0,1,-90,90
16,18,2.977812678743678,1.1453125687475685,3.0051377570649917e-09,0,0,0,0,0,1,-90,90
17,19,2.7813680198672714,1.0697569307181813,2.8068904778532236e-09,0,0,0,0,0,1,-90,90
18,20,1.1526818473553073,0.44333917205973367,1.1632591150200515e-09,0,0,0,0,0,1,-90,90
19,22,3.9316859699719324,1.5121869115276667,3.9677640039702366e-09,0,0,0,0,0,1,-90,90
