BUS_I,BUS_TYPE,Pd,Qd,Gs,Bs,area,Vm,Va,baseKV,zone,Vmax,Vmin
1,1,0.004203223926325922,0.0010534272143850189,0,0,1,1,0,0.4,1,1.1,0.9
2,1,0.04571391659936422,0.011456987461524846,0,0,1,1,0,0.4,1,1.1,0.9
3,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
4,1,0.009606847923998876,0.002407703045325193,0,0,1,1,0,0.4,1,1.1,0.9
5,3,0.037601726116892095,0.00942388088136197,0,0,1,1,0,0.4,1,1.1,0.9
11,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
6,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
9,1,0.044906393915537426,0.011254603199756536,0,0,1,1,0,0.4,1,1.1,0.9
8,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
10,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
13,1,0.008346868820056103,0.0020919225156854197,0,0,1,1,0,0.4,1,1.1,0.9
12,1,0.03700868859278847,0.009275251667693513,0,0,1,1,0,0.4,1,1.1,0.9
14,1,0.04835013122720826,0.01211768512612875,0,0,1,1,0,0.4,1,1.1,0.9
