BUS_I,BUS_TYPE,Pd,Qd,Gs,Bs,area,Vm,Va,baseKV,zone,Vmax,Vmin
1,1,0.008120311908007452,0.0020351420012654567,0,0,1,1,0,0.4,1,1.1,0.9
2,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
3,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
4,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
6,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
7,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
9,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
10,1,0.010437750245912723,0.002615946796726954,0,0,1,1,0,0.4,1,1.1,0.9
12,1,0.010842609259288533,0.002717414030011369,0,0,1,1,0,0.4,1,1.1,0.9
13,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
40,1,0.005342248566441944,0.0013388936979188014,0,0,1,1,0,0.4,1,1.1,0.9
8,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
43,1,0.006774252366709787,0.0016977876804298688,0,0,1,1,0,0.4,1,1.1,0.9
24,1,0.006984805686819462,0.0017505573166354115,0,0,1,1,0,0.4,1,1.1,0.9
11,1,0.007302381039932932,0.001830149202638042,0,0,1,1,0,0.4,1,1.1,0.9
21,1,0.004908812264325706,0.001230264320956065,0,0,1,1,0,0.4,1,1.1,0.9
50,1,0.002781552238088726,0.0006971227032382984,0,0,1,1,0,0.4,1,1.1,0.9
39,1,0.00496569532462239,0.0012445205596919367,0,0,1,1,0,0.4,1,1.1,0.9
25,1,0.036897677534537425,0.009247429673931322,0,0,1,1,0,0.4,1,1.1,0.9
22,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
51,1,0.002502958118368064,0.0006273004352303421,0,0,1,1,0,0.4,1,1.1,0.9
14,1,0.0033779546264989355,0.0008465952313947303,0,0,1,1,0,0.4,1,1.1,0.9
15,1,0.0034253649484244247,0.0008584773781074611,0,0,1,1,0,0.4,1,1.1,0.9
16,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
26,1,0.005796726036337791,0.001452796488611093,0,0,1,1,0,0.4,1,1.1,0.9
23,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
17,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
19,1,0.005527761310627925,0.00138538757423045,0,0,1,1,0,0.4,1,1.1,0.9
20,3,0.009926269020900902,0.0024877575183257397,0,0,1,1,0,0.4,1,1.1,0.9
38,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
37,1,0.026074914084431605,0.006534989472545552,0,0,1,1,0,0.4,1,1.1,0.9
42,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
27,1,0.011029271534471264,0.0027641960059477293,0,0,1,1,0,0.4,1,1.1,0.9
28,1,0.0013827632748054904,0.0003465531435546232,0,0,1,1,0,0.4,1,1.1,0.9
29,1,0.004024609135877323,0.0010086621282396557,0,0,1,1,0,0.4,1,1.1,0.9
30,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
31,1,0.0004138217626947768,0.00010371351000290593,0,0,1,1,0,0.4,1,1.1,0.9
32,1,0.0011918924356329106,0.00029871640205780326,0,0,1,1,0,0.4,1,1.1,0.9
33,1,0.007262842976092137,0.001820240029778343,0,0,1,1,0,0.4,1,1.1,0.9
49,1,0.002798933253289393,0.0007014787962628323,0,0,1,1,0,0.4,1,1.1,0.9
36,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
34,1,0.0009310514908535124,0.0002333434990974075,0,0,1,1,0,0.4,1,1.1,0.9
35,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
44,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
45,1,0.0037472805281409515,0.000939157027431865,0,0,1,1,0,0.4,1,1.1,0.9
46,1,0.001439900287606426,0.0003608730287875242,0,0,1,1,0,0.4,1,1.1,0.9
41,1,0.08537591138821739,0.02139722034459561,0,0,1,1,0,0.4,1,1.1,0.9
47,1,0.0013850023303968353,0.00034711430378205494,0,0,1,1,0,0.4,1,1.1,0.9
48,1,0.008250630243497687,0.002067802854825731,0,0,1,1,0,0.4,1,1.1,0.9
