F_BUS,T_BUS,BR_R,BR_X,BR_B,RATE_A,RATE_B,RATE_C,TAP,SHIFT,BR_STATUS,ANGMIN,ANGMAX
1,2,1.115981101064063,0.7142279046810004,1.8740327331371105e-09,0,0,0,0,0,1,-90,90
1,3,2.304086928984638,1.4746156345501682,3.869182301379045e-09,0,0,0,0,0,1,-90,90
2,4,0.4198013824264265,0.26867288475291295,7.049595475525633e-10,0,0,0,0,0,1,-90,90
3,5,0.9225940613939011,0.5904601992920968,1.5492838264031027e-09,0,0,0,0,0,1,-90,90
4,6,2.004438012173549,1.2828403277910714,3.365991093196727e-09,0,0,0,0,0,1,-90,90
5,8,1.18733573720938,0.7598948718140033,1.993856378600203e-09,0,0,0,0,0,1,-90,90
6,7,3.4796093749999994,2.2269499999999995,5.843200983478329e-09,0,0,0,0,0,1,-90,90
8,9,1.027314635215713,0.6574813665380563,1.725137864601292e-09,0,0,0,0,0,1,-90,90
9,10,0.2922943033755248,0.1870683541603359,4.908408320830494e-10,0,0,0,0,0,1,-90,90
10,11,1.622174670564867,1.0381917891615149,2.7240680228418646e-09,0,0,0,0,0,1,-90,90
11,12,0.48473315174814585,0.31022921711881335,8.13997470339416e-10,0,0,0,0,0,1,-90,90
12,13,3.974436202304381,2.5436391694748037,6.6741484526770585e-09,0,0,0,0,0,1,-90,90
13,14,2.5600635028898475,1.6384406418495026,4.299035887570838e-09,0,0,0,0,0,1,-90,90
14,25,2.031042940741513,1.2998674820745684,3.4106679313184476e-09,0,0,0,0,0,1,-90,90
25,24,1.2343460871836611,0.7899814957975432,2.0727994131767154e-09,0,0,0,0,0,1,-90,90
24,26,3.260366569493129,2.0866346044756026,5.475033284551407e-09,0,0,0,0,0,1,-90,90
24,23,1.3988241038928646,0.8952474264914334,2.3490022869535403e-09,0,0,0,0,0,1,-90,90
15,16,2.2144803694692166,1.4172674364602988,3.7187087624673335e-09,0,0,0,0,0,1,-90,90
15,17,0.6421521000461188,0.4109773440295161,1.0783462676847614e-09,0,0,0,0,0,1,-90,90
16,18,1.1193927088600144,0.7164113336704092,1.879761741160761e-09,0,0,0,0,0,1,-90,90
18,21,0.7595755449538144,0.48612834877044125,1.2755318465309677e-09,0,0,0,0,0,1,-90,90
18,19,4.064408007001844,2.6012211244811803,6.825235336587278e-09,0,0,0,0,0,1,-90,90
21,22,2.4070943760926977,1.5405404006993266,4.04215953858614e-09,0,0,0,0,0,1,-90,90
19,20,0.722868526085836,0.462635856694935,1.2138908789295599e-09,0,0,0,0,0,1,-90,90
22,23,2.124202518374919,1.359489611759948,3.567107944257527e-09,0,0,0,0,0,1,-90,90
26,28,0.2526041666666666,0.16166666666666663,1.2725712193749248e-09,0,0,0,0,0,1,-90,90
26,39,0.7710480926767332,0.49347077931310934,3.884392029008524e-09,0,0,0,0,0,1,-90,90
28,54,0.497853073264107,0.3186259668890285,2.5080880528359932e-09,0,0,0,0,0,1,-90,90
39,40,0.5986888675980027,0.3831608752627217,3.0160793953598683e-09,0,0,0,0,0,1,-90,90
27,55,2.0243465751249885,1.295581808079993,1.0198268791597897e-08,0,0,0,0,0,1,-90,90
27,54,0.28677193876903156,0.18353404081218022,1.4447018852360627e-09,0,0,0,0,0,1,-90,90
55,56,0.8187105135741177,0.5239747286874354,4.124506140664424e-09,0,0,0,0,0,1,-90,90
36,101,2.515859375,1.6101499999999997,4.224805255415537e-09,0,0,0,0,0,1,-90,90
36,108,1.3859958422851224,0.8870373390624783,2.3274601818594372e-09,0,0,0,0,0,1,-90,90
101,102,1.9954302962602528,1.2770753896065619,3.3508647129594436e-09,0,0,0,0,0,1,-90,90
101,100,0.5827039175941676,0.3729305072602673,9.785167636418716e-10,0,0,0,0,0,1,-90,90
108,106,1.4120128634158329,0.9036882325861331,2.3711497651070232e-09,0,0,0,0,0,1,-90,90
40,41,2.434327710756976,1.5579697348844646,4.087891639734334e-09,0,0,0,0,0,1,-90,90
40,42,1.2077728124864866,0.7729745999913515,6.084527191279418e-09,0,0,0,0,0,1,-90,90
56,57,3.372015564019786,2.158089960972663,1.132504401301347e-08,0,0,0,0,0,1,-90,90
107,105,1.2907651141969174,0.8260896730860273,2.167542149674472e-09,0,0,0,0,0,1,-90,90
105,106,1.1973265375926783,0.7662889840593142,2.0106336223462557e-09,0,0,0,0,0,1,-90,90
102,103,0.8798723464876199,0.5631183017520767,1.4775425647690255e-09,0,0,0,0,0,1,-90,90
100,58,3.289482530685231,2.105268819638548,5.523926822514301e-09,0,0,0,0,0,1,-90,90
41,48,0.20436936594901228,0.13079639420736788,3.4319118941507945e-10,0,0,0,0,0,1,-90,90
42,53,0.17664259060083654,0.11305125798453539,8.898914055170069e-10,0,0,0,0,0,1,-90,90
48,47,1.8697423641730397,1.1966351130707455,3.1398008350253402e-09,0,0,0,0,0,1,-90,90
53,51,0.08052099371368202,0.0515334359767565,4.0564928325476695e-10,0,0,0,0,0,1,-90,90
47,45,0.9080470909455591,0.5811501382051579,1.5248555464240083e-09,0,0,0,0,0,1,-90,90
51,49,0.03853996560837566,0.024665577989360428,1.9415693603200646e-10,0,0,0,0,0,1,-90,90
43,44,0.7290302419563529,0.4665793548520658,1.2242380588438337e-09,0,0,0,0,0,1,-90,90
43,45,2.4345856368530243,1.5581348075859356,4.08832476709309e-09,0,0,0,0,0,1,-90,90
44,46,6.647235917786423,4.254230987383311,1.1162498794055613e-08,0,0,0,0,0,1,-90,90
49,50,0.20227326068721374,0.12945488683981682,1.0190137929883832e-09,0,0,0,0,0,1,-90,90
50,52,0.7562686272709713,0.48401192145342165,3.8099359241813275e-09,0,0,0,0,0,1,-90,90
57,58,2.4611258456660385,1.5751205412262648,4.132892923321237e-09,0,0,0,0,0,1,-90,90
103,104,2.022533159244838,1.2944212219166962,3.3963777170295063e-09,0,0,0,0,0,1,-90,90
