BUS_I,BUS_TYPE,Pd,Qd,Gs,Bs,area,Vm,Va,baseKV,zone,Vmax,Vmin
1,1,0.0019575460788866313,0.0004906072931294883,0,0,1,1,0,0.4,1,1.1,0.9
2,1,0.001124595205594516,0.0002818501263566317,0,0,1,1,0,0.4,1,1.1,0.9
4,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
169,1,0.0005956639157524129,0.00014928744946244885,0,0,1,1,0,0.4,1,1.1,0.9
166,1,0.0009238736359086318,0.0002315445590760381,0,0,1,1,0,0.4,1,1.1,0.9
5,1,0.0006591697177411372,0.00016520350372433663,0,0,1,1,0,0.4,1,1.1,0.9
79,1,0.000584848031303001,0.00014657673330114893,0,0,1,1,0,0.4,1,1.1,0.9
196,1,0.005694386175809767,0.0014271477018497312,0,0,1,1,0,0.4,1,1.1,0.9
167,1,0.0005283574104962457,0.00013241884917258246,0,0,1,1,0,0.4,1,1.1,0.9
80,1,0.0002679468300303735,6.715380567623501e-05,0,0,1,1,0,0.4,1,1.1,0.9
6,1,0.008465373366938646,0.0021216225547274884,0,0,1,1,0,0.4,1,1.1,0.9
7,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
8,1,0.004177873000706424,0.0010470736735255452,0,0,1,1,0,0.4,1,1.1,0.9
9,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
175,1,0.0019263471382225572,0.0004827881015442693,0,0,1,1,0,0.4,1,1.1,0.9
174,1,0.0020346648642328097,0.0005099350826186848,0,0,1,1,0,0.4,1,1.1,0.9
186,1,0.004738077773114452,0.0011874742239665551,0,0,1,1,0,0.4,1,1.1,0.9
176,1,0.0017359090757992162,0.00043505982412487946,0,0,1,1,0,0.4,1,1.1,0.9
173,1,0.003397500987310156,0.0008514940111841589,0,0,1,1,0,0.4,1,1.1,0.9
187,1,0.003921937381698073,0.0009829301610885237,0,0,1,1,0,0.4,1,1.1,0.9
10,1,0.0021830514138504392,0.0005471242574891608,0,0,1,1,0,0.4,1,1.1,0.9
11,1,0.0008138762990044792,0.00020397662783188983,0,0,1,1,0,0.4,1,1.1,0.9
12,1,0.001975441965795796,0.000495092425167683,0,0,1,1,0,0.4,1,1.1,0.9
13,1,0.0009927427291718152,0.00024880478083559414,0,0,1,1,0,0.4,1,1.1,0.9
14,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
15,1,0.0033180410994896204,0.0008315794861078563,0,0,1,1,0,0.4,1,1.1,0.9
16,1,0.000829360375197902,0.0002078573031272507,0,0,1,1,0,0.4,1,1.1,0.9
17,1,0.0005317081135203243,0.00013325861450860915,0,0,1,1,0,0.4,1,1.1,0.9
18,1,0.0013509505896140358,0.00033858013309152494,0,0,1,1,0,0.4,1,1.1,0.9
151,1,0.0009530566979069035,0.0002388585238437769,0,0,1,1,0,0.4,1,1.1,0.9
26,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
29,1,0.0008237590570534546,0.00020645348047273245,0,0,1,1,0,0.4,1,1.1,0.9
46,1,0.000867366648242069,0.00021738257302574736,0,0,1,1,0,0.4,1,1.1,0.9
61,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
27,1,0.0006791808754273369,0.00017021877259116078,0,0,1,1,0,0.4,1,1.1,0.9
28,1,0.0012659483955418005,0.0003172765751351444,0,0,1,1,0,0.4,1,1.1,0.9
30,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
45,1,0.0013349754692602894,0.00033457639052898616,0,0,1,1,0,0.4,1,1.1,0.9
19,1,0.005967879957513674,0.0014956917046585008,0,0,1,1,0,0.4,1,1.1,0.9
20,1,0.0006175188537439026,0.00015476481323189632,0,0,1,1,0,0.4,1,1.1,0.9
21,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
22,1,0.0016424974194491151,0.00041164865625355646,0,0,1,1,0,0.4,1,1.1,0.9
23,1,0.0026024126017113692,0.0006522260783040429,0,0,1,1,0,0.4,1,1.1,0.9
24,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
49,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
78,1,0.0011433552420388236,0.00028655183468330724,0,0,1,1,0,0.4,1,1.1,0.9
25,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
123,1,0.005576628319534788,0.0013976348011140011,0,0,1,1,0,0.4,1,1.1,0.9
87,1,0.008574698731683315,0.002149022073873562,0,0,1,1,0,0.4,1,1.1,0.9
