F_BUS,T_BUS,BR_R,BR_X,BR_B,RATE_A,RATE_B,RATE_C,TAP,SHIFT,BR_STATUS,ANGMIN,ANGMAX
1,2,5.492883400140303,3.5154453760897937,9.224030121436146e-09,0,0,0,0,0,1,-90,90
1,3,3.8240789985661148,2.447410559082314,6.421658225737004e-09,0,0,0,0,0,1,-90,90
2,4,1.9181660024195208,1.2276262415484933,3.221117161121696e-09,0,0,0,0,0,1,-90,90
2,5,3.841368605182138,2.4584759073165685,6.450692130263342e-09,0,0,0,0,0,1,-90,90
3,6,0.7848632774494023,0.5023124975676174,1.3179967578080146e-09,0,0,0,0,0,1,-90,90
4,13,0.9689779451272647,0.6201458848814494,1.627174855492635e-09,0,0,0,0,0,1,-90,90
6,14,1.3991321042340015,0.8954445467097608,2.349519502451686e-09,0,0,0,0,0,1,-90,90
13,34,1.118086128116578,0.7155751219946099,1.877567640311426e-09,0,0,0,0,0,1,-90,90
14,10,0.6015903239925083,0.38501780735520535,1.0102321249218014e-09,0,0,0,0,0,1,-90,90
7,10,2.630869347370652,1.6837563823172175,8.835875928147357e-09,0,0,0,0,0,1,-90,90
7,9,0.8919500443814639,0.5708480284041368,5.9912970852290665e-09,0,0,0,0,0,1,-90,90
7,31,2.1935553614075483,1.4038754313008308,3.683570040125768e-09,0,0,0,0,0,1,-90,90
10,33,2.447423805037383,1.5663512352239253,4.109883507996559e-09,0,0,0,0,0,1,-90,90
9,29,0.4174744427786527,0.2671836433783377,2.8042079575340735e-09,0,0,0,0,0,1,-90,90
9,28,0.7976277365844155,0.510481751414026,5.3577268854894386e-09,0,0,0,0,0,1,-90,90
31,11,3.9674182226797594,2.539147662515046,6.662363375380955e-09,0,0,0,0,0,1,-90,90
8,11,8.132118386735254,5.204555767510563,1.365601624611488e-08,0,0,0,0,0,1,-90,90
8,36,2.15904265592367,1.3817872997911487,3.625613915488675e-09,0,0,0,0,0,1,-90,90
29,30,0.5392755711323836,0.34513636552472543,3.6223555094963276e-09,0,0,0,0,0,1,-90,90
30,21,1.8182428811263538,1.1636754439208665,6.106638674750658e-09,0,0,0,0,0,1,-90,90
15,16,2.2425874737606897,1.4352559832068414,3.76590815807152e-09,0,0,0,0,0,1,-90,90
15,17,1.693578169939188,1.0838900287610804,2.8439737228222903e-09,0,0,0,0,0,1,-90,90
16,18,0.6221430668031858,0.39817156275403887,1.0447457136790244e-09,0,0,0,0,0,1,-90,90
17,20,5.240156249999998,3.353699999999999,8.799633192613783e-09,0,0,0,0,0,1,-90,90
18,21,2.2922656249999993,1.46705,3.8493311492453275e-09,0,0,0,0,0,1,-90,90
18,22,1.459800284531325,0.934272182100048,2.45139771134666e-09,0,0,0,0,0,1,-90,90
20,25,1.7564255000619329,1.124112320039637,2.9495113109839524e-09,0,0,0,0,0,1,-90,90
20,26,3.0056490032290584,1.9236153620665974,5.047293911161707e-09,0,0,0,0,0,1,-90,90
21,24,1.757518515039982,1.1248118496255886,2.951346777413196e-09,0,0,0,0,0,1,-90,90
19,23,2.2105159511273285,1.4147302087214901,3.7120514366994828e-09,0,0,0,0,0,1,-90,90
19,24,1.6166408661798308,1.0346501543550917,2.7147752753693065e-09,0,0,0,0,0,1,-90,90
25,27,2.47578352866567,1.5845014583460288,4.157507119481965e-09,0,0,0,0,0,1,-90,90
