BUS_I,BUS_TYPE,Pd,Qd,Gs,Bs,area,Vm,Va,baseKV,zone,Vmax,Vmin
1,1,0.0004355783456093393,0.00010916622366650034,0,0,1,1,0,0.4,1,1.1,0.9
2,1,0.002021788010944375,0.0005067078389772693,0,0,1,1,0,0.4,1,1.1,0.9
3,1,0.003854054240036274,0.0009659170420927437,0,0,1,1,0,0.4,1,1.1,0.9
4,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
5,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
39,1,0.0010718667358524132,0.00026863512616325365,0,0,1,1,0,0.4,1,1.1,0.9
30,1,0.0006309135621605609,0.00015812184360243712,0,0,1,1,0,0.4,1,1.1,0.9
25,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
38,1,0.0020205427181285217,0.0005063957391783789,0,0,1,1,0,0.4,1,1.1,0.9
31,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
8,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
11,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
32,1,0.00760783086621014,0.0019067021451577733,0,0,1,1,0,0.4,1,1.1,0.9
29,1,0.003241103390553361,0.0008122970786447987,0,0,1,1,0,0.4,1,1.1,0.9
6,1,0.0035193762691245914,0.0008820388360315932,0,0,1,1,0,0.4,1,1.1,0.9
12,1,0.004957816477213636,0.001242545934398627,0,0,1,1,0,0.4,1,1.1,0.9
7,1,0.001985566596596293,0.0004976298968341444,0,0,1,1,0,0.4,1,1.1,0.9
9,1,0.0021650391020443987,0.0005426099466213462,0,0,1,1,0,0.4,1,1.1,0.9
13,1,0.0007328316052546096,0.0001836649129496806,0,0,1,1,0,0.4,1,1.1,0.9
14,1,0.0036388600634574644,0.0009119842976188022,0,0,1,1,0,0.4,1,1.1,0.9
19,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
20,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
21,1,0.008464080554710209,0.002121298545441189,0,0,1,1,0,0.4,1,1.1,0.9
15,1,0.009598819441643312,0.002405690917979184,0,0,1,1,0,0.4,1,1.1,0.9
16,1,0.00569244010245429,0.001426659969892124,0,0,1,1,0,0.4,1,1.1,0.9
17,1,0.007175618569431878,0.0017983795328490682,0,0,1,1,0,0.4,1,1.1,0.9
18,3,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
28,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
27,1,0.005051259442467653,0.0012659649490209238,0,0,1,1,0,0.4,1,1.1,0.9
22,1,0.002618515930622162,0.0006562619529598217,0,0,1,1,0,0.4,1,1.1,0.9
23,1,0.004239244458591188,0.001062454810732481,0,0,1,1,0,0.4,1,1.1,0.9
24,1,0.003929091702507772,0.000984723202899638,0,0,1,1,0,0.4,1,1.1,0.9
37,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
62,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
35,1,0.004714263025771085,0.0011815056856742982,0,0,1,1,0,0.4,1,1.1,0.9
26,1,0.009218191347559695,0.0023102965255091946,0,0,1,1,0,0.4,1,1.1,0.9
43,1,0.00429676740395845,0.0010768714197839106,0,0,1,1,0,0.4,1,1.1,0.9
42,1,0.0035103265280338352,0.0008797707571199673,0,0,1,1,0,0.4,1,1.1,0.9
33,1,0.01164975535837241,0.002919703910746534,0,0,1,1,0,0.4,1,1.1,0.9
34,1,0.003938524059473797,0.0009870871743886589,0,0,1,1,0,0.4,1,1.1,0.9
36,1,0.004384573576289906,0.0010988777209342254,0,0,1,1,0,0.4,1,1.1,0.9
40,1,0.011123713291420636,0.0027878653413646905,0,0,1,1,0,0.4,1,1.1,0.9
41,1,0.0034853627053326904,0.000873514233396889,0,0,1,1,0,0.4,1,1.1,0.9
61,1,0.0013351889462217851,0.00033462989289879215,0,0,1,1,0,0.4,1,1.1,0.9
45,1,0.0010572177559099094,0.0002649637457169821,0,0,1,1,0,0.4,1,1.1,0.9
46,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
47,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
48,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
49,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
50,1,0.0027069468834503515,0.0006784248388626532,0,0,1,1,0,0.4,1,1.1,0.9
56,1,0.004035065771254121,0.0010112828080963317,0,0,1,1,0,0.4,1,1.1,0.9
57,1,0.0018210236867587757,0.0004563915564089997,0,0,1,1,0,0.4,1,1.1,0.9
55,1,0.0014524909384005808,0.00036402854332252414,0,0,1,1,0,0.4,1,1.1,0.9
65,1,0.00685353436431461,0.0017176576220155726,0,0,1,1,0,0.4,1,1.1,0.9
63,1,0.0034268073610523196,0.0008588388807880774,0,0,1,1,0,0.4,1,1.1,0.9
54,1,0.004539123427022489,0.001137611564668113,0,0,1,1,0,0.4,1,1.1,0.9
67,1,0.0010576899365655806,0.000265082085344256,0,0,1,1,0,0.4,1,1.1,0.9
59,1,0.0014515837338817002,0.00036380117643797244,0,0,1,1,0,0.4,1,1.1,0.9
60,1,0.0032875946382347346,0.0008239488836394194,0,0,1,1,0,0.4,1,1.1,0.9
58,1,0.0046125282508952545,0.0011560085476721334,0,0,1,1,0,0.4,1,1.1,0.9
64,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
51,1,0.00412006196110057,0.001032584861251884,0,0,1,1,0,0.4,1,1.1,0.9
52,1,0.004756644840252068,0.0011921275696261987,0,0,1,1,0,0.4,1,1.1,0.9
66,1,0.005177997520308919,0.0012977285054330942,0,0,1,1,0,0.4,1,1.1,0.9
