BUS_I,BUS_TYPE,Pd,Qd,Gs,Bs,area,Vm,Va,baseKV,zone,Vmax,Vmin
1,1,0.005205745914792642,0.0013046829086285944,0,0,1,1,0,0.4,1,1.1,0.9
2,1,0.006139398218475731,0.0015386782328636155,0,0,1,1,0,0.4,1,1.1,0.9
3,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
4,1,0.010164671015320684,0.0025475066902203207,0,0,1,1,0,0.4,1,1.1,0.9
5,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
6,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
7,1,0.007204743098157166,0.0018056788277957866,0,0,1,1,0,0.4,1,1.1,0.9
15,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
14,1,0.009999332309506514,0.002506068904523261,0,0,1,1,0,0.4,1,1.1,0.9
55,1,0.006236710666330933,0.001563067031239794,0,0,1,1,0,0.4,1,1.1,0.9
26,1,0.019588479537070106,0.004909335737154263,0,0,1,1,0,0.4,1,1.1,0.9
25,1,0.01005118020299586,0.002519063211504654,0,0,1,1,0,0.4,1,1.1,0.9
20,3,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
54,1,0.006752508930317604,0.0016923382615953609,0,0,1,1,0,0.4,1,1.1,0.9
13,1,0.00586799073018675,0.0014706571044719593,0,0,1,1,0,0.4,1,1.1,0.9
11,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
53,1,0.007817125350099362,0.0019591562872672786,0,0,1,1,0,0.4,1,1.1,0.9
10,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
12,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
32,1,0.005687335388025789,0.0014253806078607636,0,0,1,1,0,0.4,1,1.1,0.9
29,1,0.00932634302992318,0.0023374018921230562,0,0,1,1,0,0.4,1,1.1,0.9
27,1,0.006837411983487507,0.0017136169724994773,0,0,1,1,0,0.4,1,1.1,0.9
52,1,0.010894759602972086,0.00273048413815662,0,0,1,1,0,0.4,1,1.1,0.9
30,1,0.029034287228895676,0.007276678295825459,0,0,1,1,0,0.4,1,1.1,0.9
23,1,0.005135503435110342,0.0012870784837870416,0,0,1,1,0,0.4,1,1.1,0.9
47,1,0.02709380068253087,0.006790346524566366,0,0,1,1,0,0.4,1,1.1,0.9
44,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
28,1,0.058127354329341026,0.014568088216097728,0,0,1,1,0,0.4,1,1.1,0.9
24,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
49,1,0.0008889496549386771,0.00022279178438849647,0,0,1,1,0,0.4,1,1.1,0.9
50,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
22,1,0.009310538402644722,0.0023334408791529735,0,0,1,1,0,0.4,1,1.1,0.9
31,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
21,1,0.009179576105182224,0.0023006186335092654,0,0,1,1,0,0.4,1,1.1,0.9
36,1,0.004412222653949998,0.0011058072329874283,0,0,1,1,0,0.4,1,1.1,0.9
34,1,0.00723432523179613,0.0018130928093444923,0,0,1,1,0,0.4,1,1.1,0.9
41,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
37,1,0.005100587197924884,0.0012783276498748368,0,0,1,1,0,0.4,1,1.1,0.9
48,1,0.021013087488156435,0.005266376145138288,0,0,1,1,0,0.4,1,1.1,0.9
39,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
35,1,0.05823210870749247,0.014594342138016936,0,0,1,1,0,0.4,1,1.1,0.9
40,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
46,1,0.06198119637754692,0.015533952077904882,0,0,1,1,0,0.4,1,1.1,0.9
38,1,0.019044771949631285,0.004773069771001865,0,0,1,1,0,0.4,1,1.1,0.9
43,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
42,1,0.06415571743624544,0.01607893842686885,0,0,1,1,0,0.4,1,1.1,0.9
45,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
51,1,0.00088512772010175,0.00022183391722762304,0,0,1,1,0,0.4,1,1.1,0.9
