F_BUS,T_BUS,BR_R,BR_X,BR_B,RATE_A,RATE_B,RATE_C,TAP,SHIFT,BR_STATUS,ANGMIN,ANGMAX
11,12,1.0126034191778657,0.648066188273834,1.700433772056274e-09,0,0,0,0,0,1,-90,90
11,13,1.3936032335244282,0.891906069455634,2.340235039948563e-09,0,0,0,0,0,1,-90,90
12,14,1.0123033473572232,0.6478741423086227,1.6999298706786967e-09,0,0,0,0,0,1,-90,90
13,15,0.9579166168953926,0.6130666348130513,1.6085999072621168e-09,0,0,0,0,0,1,-90,90
14,224,1.5254974567624964,0.9763183723279978,2.5617209516939844e-09,0,0,0,0,0,1,-90,90
15,220,0.674142552167646,0.4314512333872934,1.132066849840172e-09,0,0,0,0,0,1,-90,90
15,160,2.805866550826106,1.795754592528708,4.711805384561608e-09,0,0,0,0,0,1,-90,90
224,213,0.32608204534416924,0.20869250902026829,5.475795477903823e-10,0,0,0,0,0,1,-90,90
220,227,1.0493540000955353,0.6715865600611426,1.7621478920676693e-09,0,0,0,0,0,1,-90,90
160,159,1.6010948807487866,1.0247007236792234,2.6886693802615207e-09,0,0,0,0,0,1,-90,90
87,88,5.453072414663491,3.489966345384634,9.15717675819294e-09,0,0,0,0,0,1,-90,90
87,89,1.0469183471650125,0.670027742185608,1.7580577750271486e-09,0,0,0,0,0,1,-90,90
88,90,1.2672929497605248,0.8110674878467358,2.1281260659886143e-09,0,0,0,0,0,1,-90,90
89,91,3.4837499999999992,2.2295999999999996,5.850154207666665e-09,0,0,0,0,0,1,-90,90
89,92,3.0691630737353837,1.9642643671906455,5.153951135939207e-09,0,0,0,0,0,1,-90,90
90,94,2.6624999999999996,1.7039999999999997,4.4710543460100454e-09,0,0,0,0,0,1,-90,90
90,93,1.035681336550627,0.6628360553924013,1.739187808776028e-09,0,0,0,0,0,1,-90,90
91,183,1.2684279847378541,0.8117939102322267,4.260064190620054e-09,0,0,0,0,0,1,-90,90
91,182,1.6852226879359469,1.078542520279006,5.659885237852205e-09,0,0,0,0,0,1,-90,90
92,95,4.826242101491996,3.088794944954877,8.104559895876975e-09,0,0,0,0,0,1,-90,90
94,293,0.6410937499999999,0.4102999999999999,1.0765690130093437e-09,0,0,0,0,0,1,-90,90
94,292,1.3538281249999997,0.8664499999999998,2.2734419237678427e-09,0,0,0,0,0,1,-90,90
183,219,1.3507516320442141,0.8644810445082971,4.536551327572917e-09,0,0,0,0,0,1,-90,90
182,148,0.5316600301434912,0.3402624192918344,1.7856006673223578e-09,0,0,0,0,0,1,-90,90
95,96,2.0070706252445545,1.2845252001565148,3.3704119593422597e-09,0,0,0,0,0,1,-90,90
95,97,0.6809862760417918,0.4358312166667468,1.1435593048149674e-09,0,0,0,0,0,1,-90,90
95,98,2.266996942301873,1.450878043073199,3.806898227707146e-09,0,0,0,0,0,1,-90,90
96,99,3.5777873810284424,2.289783923858203,6.008068288843989e-09,0,0,0,0,0,1,-90,90
97,173,3.3189506264970663,2.1241284009581225,5.573411689311727e-09,0,0,0,0,0,1,-90,90
98,175,0.3859031973567402,0.24697804630831374,6.480353681431083e-10,0,0,0,0,0,1,-90,90
175,176,3.7516406249999994,2.4010499999999997,6.3000146933611624e-09,0,0,0,0,0,1,-90,90
175,143,4.854700599768174,3.107008383851632,8.152349376590075e-09,0,0,0,0,0,1,-90,90
140,141,1.6365213802237157,1.0473736833431782,2.748160011037598e-09,0,0,0,0,0,1,-90,90
141,142,2.432609552369529,1.5568701135164984,4.0850063892083886e-09,0,0,0,0,0,1,-90,90
141,143,0.6884298788380728,0.4405951224563667,1.1560591180101916e-09,0,0,0,0,0,1,-90,90
142,171,0.5600570787901431,0.3584365304256916,9.404866239017317e-10,0,0,0,0,0,1,-90,90
171,172,2.03921875,1.3050999999999997,3.4243973163014736e-09,0,0,0,0,0,1,-90,90
144,145,2.1340157735136493,1.3657700950487357,3.583587041736035e-09,0,0,0,0,0,1,-90,90
