BUS_I,BUS_TYPE,Pd,Qd,Gs,Bs,area,Vm,Va,baseKV,zone,Vmax,Vmin
1,3,0.07269316480127641,0.01821862442821988,0,0,1,1,0,0.4,1,1.1,0.9
3,1,0.0029177577662455488,0.0007312590263619398,0,0,1,1,0,0.4,1,1.1,0.9
15,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
2,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
4,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
14,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
13,1,0.08243799882059466,0.020660910048864396,0,0,1,1,0,0.4,1,1.1,0.9
12,1,0.0036782795371879777,0.0009218637489952498,0,0,1,1,0,0.4,1,1.1,0.9
11,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
5,1,0.008467172065369203,0.0021220733510472736,0,0,1,1,0,0.4,1,1.1,0.9
6,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
7,1,0.002585042941108813,0.0006478728310100406,0,0,1,1,0,0.4,1,1.1,0.9
9,1,0.0021036878850081648,0.000527233882249229,0,0,1,1,0,0.4,1,1.1,0.9
8,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
10,1,0.0023927699856707693,0.0005996846860530052,0,0,1,1,0,0.4,1,1.1,0.9
