BUS_I,BUS_TYPE,Pd,Qd,Gs,Bs,area,Vm,Va,baseKV,zone,Vmax,Vmin
1,1,0.0363438284776198,0.009108622015941877,0,0,1,1,0,0.4,1,1.1,0.9
2,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
3,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
16,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
21,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
4,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
105,1,0.031645786517070965,0.007931181712424452,0,0,1,1,0,0.4,1,1.1,0.9
8,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
35,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
5,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
103,1,0.02898886817254773,0.007265295207308822,0,0,1,1,0,0.4,1,1.1,0.9
89,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
6,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
93,1,0.0046576418449699305,0.00116731508012674,0,0,1,1,0,0.4,1,1.1,0.9
20,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
25,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
91,1,0.0013832818191667614,0.000346683103021833,0,0,1,1,0,0.4,1,1.1,0.9
32,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
9,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
10,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
80,1,0.0020034799980011542,0.0005021194184187291,0,0,1,1,0,0.4,1,1.1,0.9
96,1,0.019286449589205466,0.004833639896957138,0,0,1,1,0,0.4,1,1.1,0.9
14,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
11,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
81,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
12,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
106,1,0.023984744980981264,0.006011143716327188,0,0,1,1,0,0.4,1,1.1,0.9
37,3,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
13,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
23,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
87,1,0.0003111738124231562,7.798750867337778e-05,0,0,1,1,0,0.4,1,1.1,0.9
94,1,0.020025285278798814,0.005018809575284717,0,0,1,1,0,0.4,1,1.1,0.9
15,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
41,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
54,1,0.0029656773338666296,0.0007432688020765862,0,0,1,1,0,0.4,1,1.1,0.9
83,1,0.00013035928957644087,3.267111762179094e-05,0,0,1,1,0,0.4,1,1.1,0.9
26,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
65,1,0.0001375125313988616,3.4463889013202835e-05,0,0,1,1,0,0.4,1,1.1,0.9
18,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
50,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
55,1,0.002262844964787056,0.0005671224064249288,0,0,1,1,0,0.4,1,1.1,0.9
19,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
33,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
44,1,0.002851288211777578,0.0007146001857120168,0,0,1,1,0,0.4,1,1.1,0.9
92,1,0.022251502926348782,0.005576752310713343,0,0,1,1,0,0.4,1,1.1,0.9
98,1,0.017754057452428005,0.004449586225707214,0,0,1,1,0,0.4,1,1.1,0.9
99,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
27,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
22,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
60,1,0.0031615999169989613,0.000792371629953905,0,0,1,1,0,0.4,1,1.1,0.9
61,1,0.006341353183317211,0.0015892929181083647,0,0,1,1,0,0.4,1,1.1,0.9
59,1,0.006350739072167982,0.0015916452435899234,0,0,1,1,0,0.4,1,1.1,0.9
57,1,0.000707046226612586,0.00017720248789909014,0,0,1,1,0,0.4,1,1.1,0.9
45,1,0.006703662422551558,0.0016800961727820244,0,0,1,1,0,0.4,1,1.1,0.9
78,1,0.0011743848451607867,0.00029432858627998333,0,0,1,1,0,0.4,1,1.1,0.9
97,1,0.02289499761308313,0.005738027281354904,0,0,1,1,0,0.4,1,1.1,0.9
40,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
29,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
102,1,0.012918447556725046,0.003237668147686641,0,0,1,1,0,0.4,1,1.1,0.9
31,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
95,1,0.015237569428198282,0.0038188948764326623,0,0,1,1,0,0.4,1,1.1,0.9
39,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
82,1,0.06780332696770312,0.01699311554786903,0,0,1,1,0,0.4,1,1.1,0.9
101,1,0.03265755692652344,0.008184755279455024,0,0,1,1,0,0.4,1,1.1,0.9
34,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
42,1,0.0070189700517585265,0.0017591197136001744,0,0,1,1,0,0.4,1,1.1,0.9
104,1,0.016854663508680864,0.004224176855803747,0,0,1,1,0,0.4,1,1.1,0.9
90,1,0.013296008287702244,0.0033322937864976913,0,0,1,1,0,0.4,1,1.1,0.9
88,1,0.00437580397440027,0.0010966798515245077,0,0,1,1,0,0.4,1,1.1,0.9
79,1,0.0005626759729197282,0.00014101989166975638,0,0,1,1,0,0.4,1,1.1,0.9
58,1,0.0073691694433108594,0.0018468879543573995,0,0,1,1,0,0.4,1,1.1,0.9
108,1,0.012515493395977677,0.0031366783154718253,0,0,1,1,0,0.4,1,1.1,0.9
36,1,0.009124350121322079,0.0022867776972757495,0,0,1,1,0,0.4,1,1.1,0.9
43,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
48,1,0.0006539713904488903,0.00016390068009777817,0,0,1,1,0,0.4,1,1.1,0.9
100,1,0.02606720704262249,0.006533057905794309,0,0,1,1,0,0.4,1,1.1,0.9
38,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
84,1,0.00023517650783360817,5.8940788756050764e-05,0,0,1,1,0,0.4,1,1.1,0.9
63,1,0.0030737829253610315,0.0007703626172297887,0,0,1,1,0,0.4,1,1.1,0.9
56,1,0.001379218767448956,0.000345664806274381,0,0,1,1,0,0.4,1,1.1,0.9
107,1,0.014718240490681897,0.00368873877588067,0,0,1,1,0,0.4,1,1.1,0.9
85,1,0.003320671920338599,0.000832238831964052,0,0,1,1,0,0.4,1,1.1,0.9
76,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
46,1,0.0021452890508654294,0.0005376601172137064,0,0,1,1,0,0.4,1,1.1,0.9
47,1,0.0005027369392344909,0.00012599775380731757,0,0,1,1,0,0.4,1,1.1,0.9
49,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
51,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
52,1,0.000652334875512484,0.00016349053079310743,0,0,1,1,0,0.4,1,1.1,0.9
86,1,0.003096659820859301,0.0007760961076935205,0,0,1,1,0,0.4,1,1.1,0.9
72,1,0.0,0.0,0,0,1,1,0,0.4,1,1.1,0.9
62,1,0.0037939761948358065,0.000950860064660531,0,0,1,1,0,0.4,1,1.1,0.9
64,1,0.004001821336508427,0.0010029509673707834,0,0,1,1,0,0.4,1,1.1,0.9
66,1,0.0029826859246880775,0.0007475315567534027,0,0,1,1,0,0.4,1,1.1,0.9
67,1,0.004883604271161108,0.001223946602346476,0,0,1,1,0,0.4,1,1.1,0.9
68,1,0.004500467409027506,0.0011279234533351373,0,0,1,1,0,0.4,1,1.1,0.9
69,1,0.004198792134939485,0.0010523165027653716,0,0,1,1,0,0.4,1,1.1,0.9
70,1,0.005127062114693932,0.001284962889469952,0,0,1,1,0,0.4,1,1.1,0.9
71,1,0.006642004195948333,0.0016646431645595168,0,0,1,1,0,0.4,1,1.1,0.9
73,1,0.006139478670178427,0.0015386983959609305,0,0,1,1,0,0.4,1,1.1,0.9
74,1,0.006970345558161011,0.001746933266782413,0,0,1,1,0,0.4,1,1.1,0.9
75,1,0.002532596368990781,0.0006347284810209039,0,0,1,1,0,0.4,1,1.1,0.9
77,1,0.004549790322679661,0.0011402849407183139,0,0,1,1,0,0.4,1,1.1,0.9
