F_BUS,T_BUS,BR_R,BR_X,BR_B,RATE_A,RATE_B,RATE_C,TAP,SHIFT,BR_STATUS,ANGMIN,ANGMAX
1,2,1.1372893270756286,0.7278651693284022,1.9098149815933636e-09,0,0,0,0,0,1,-90,90
1,3,0.5603917332858058,0.3586507093029157,9.410485989016356e-10,0,0,0,0,0,1,-90,90
2,4,1.170122234967098,0.7488782303789427,1.9649502738075613e-09,0,0,0,0,0,1,-90,90
3,5,1.430621607431533,0.9155978287561811,2.4023988564892525e-09,0,0,0,0,0,1,-90,90
3,8,1.028566037050159,0.6582822637121019,1.7272393052061765e-09,0,0,0,0,0,1,-90,90
4,25,1.209947610867114,0.774366470954953,2.0318278024457776e-09,0,0,0,0,0,1,-90,90
5,18,1.3258819114023153,0.8485644232974817,2.226512706956405e-09,0,0,0,0,0,1,-90,90
8,17,1.077465512744338,0.6895779281563763,1.8093546904907098e-09,0,0,0,0,0,1,-90,90
8,16,1.995326560901093,1.2770089989766997,3.35069051336192e-09,0,0,0,0,0,1,-90,90
25,7,0.4659797714811552,0.29822705374793934,7.825054957497041e-10,0,0,0,0,0,1,-90,90
18,19,1.37694260226018,0.8812432654465153,2.3122573543818818e-09,0,0,0,0,0,1,-90,90
7,14,4.707376756830866,3.0127211243717547,7.904952979130637e-09,0,0,0,0,0,1,-90,90
14,26,0.8575157334995984,0.548810069439743,1.4399997923137547e-09,0,0,0,0,0,1,-90,90
9,12,0.5120703124999999,0.32772499999999993,1.7198078468851433e-09,0,0,0,0,0,1,-90,90
9,20,0.7753080281010022,0.49619713798464143,2.6039018430328375e-09,0,0,0,0,0,1,-90,90
12,19,0.27523306659517727,0.17614916262091343,9.243808439932694e-10,0,0,0,0,0,1,-90,90
20,21,0.47722380932974834,0.305423237971039,1.6027745252381153e-09,0,0,0,0,0,1,-90,90
21,22,0.9522822566235067,0.6094606442390443,1.5991382993820787e-09,0,0,0,0,0,1,-90,90
24,23,0.9473986716881277,0.6063351498804018,1.5909374454292389e-09,0,0,0,0,0,1,-90,90
23,22,0.9563116538756075,0.6120394584803888,1.6059047422349633e-09,0,0,0,0,0,1,-90,90
