F_BUS,T_BUS,BR_R,BR_X,BR_B,RATE_A,RATE_B,RATE_C,TAP,SHIFT,BR_STATUS,ANGMIN,ANGMAX
1,2,0.00158653625,0.000470613,3.404971215296148e-06,0,0,0,0,0,1,-90,90
2,5,0.07803562103175664,0.023147644890318824,0.0001674774486753076,0,0,0,0,0,1,-90,90
5,119,0.0031454825,0.000933042,6.750729692257435e-06,0,0,0,0,0,1,-90,90
5,127,0.08472680654933372,0.05307016675593895,6.812413062579826e-06,0,0,0,0,0,1,-90,90
3,6,0.020122157300018848,0.005968819693488737,4.318550325983754e-05,0,0,0,0,0,1,-90,90
3,4,0.014059416055477473,0.004170433526568599,3.0173850091842084e-05,0,0,0,0,0,1,-90,90
3,78,0.025751523328989556,0.00763865411107106,5.5267060985991754e-05,0,0,0,0,0,1,-90,90
3,116,0.0031475735479808723,0.0009336622659179217,6.755217429732499e-06,0,0,0,0,0,1,-90,90
6,137,0.00023662875,7.0191e-05,5.078447356380973e-07,0,0,0,0,0,1,-90,90
4,7,0.03119553144743635,0.009253505957441795,6.69508097431663e-05,0,0,0,0,0,1,-90,90
4,114,0.0012909528350866241,0.00038293432411558293,2.7705999429731966e-06,0,0,0,0,0,1,-90,90
78,97,0.00468768637433329,0.0013905047222741444,1.006055624064109e-05,0,0,0,0,0,1,-90,90
78,58,0.03054681344746058,0.009061077247336622,6.555855279551574e-05,0,0,0,0,0,1,-90,90
7,8,0.009194802346979261,0.002727446988317444,1.9733578304184253e-05,0,0,0,0,0,1,-90,90
7,113,0.004146634912154005,0.001230013052593997,8.899369627530702e-06,0,0,0,0,0,1,-90,90
119,18,0.10332612570509715,0.06472018649990932,8.307881261278392e-06,0,0,0,0,0,1,-90,90
127,128,0.01870584478916003,0.005548700027346347,4.0145860559370985e-05,0,0,0,0,0,1,-90,90
127,134,0.006531873157138345,0.004091356818412973,5.251917289352116e-07,0,0,0,0,0,1,-90,90
137,138,0.060586479448759965,0.037949436529615604,4.871423116509545e-06,0,0,0,0,0,1,-90,90
8,136,0.001035515,0.000307164,2.2223877758906487e-06,0,0,0,0,0,1,-90,90
77,139,0.00298316875,0.000884895,6.402377332456784e-06,0,0,0,0,0,1,-90,90
77,58,0.019569229205178847,0.005804805067603613,4.1998827413597815e-05,0,0,0,0,0,1,-90,90
58,60,0.052560359204674036,0.015590938011274095,0.00011280329091600712,0,0,0,0,0,1,-90,90
58,76,0.0021922925,0.000650298,4.705025087204675e-06,0,0,0,0,0,1,-90,90
60,126,0.00148552125,0.000440649,3.188176189457223e-06,0,0,0,0,0,1,-90,90
97,98,0.004802131549331052,0.0014244525045206716,1.0306174660388455e-05,0,0,0,0,0,1,-90,90
18,140,0.00224602625,0.000666237,4.82034667033265e-06,0,0,0,0,0,1,-90,90
18,19,0.06932191400470655,0.020562904828362392,0.0001487763811102713,0,0,0,0,0,1,-90,90
128,135,0.0147266075,0.004368342,3.160575413039844e-05,0,0,0,0,0,1,-90,90
138,43,0.016727105,0.004961748,3.589915518175917e-05,0,0,0,0,0,1,-90,90
94,135,0.00360438875,0.001069167,7.735618989157836e-06,0,0,0,0,0,1,-90,90
94,93,0.025700585839111268,0.007623544563511657,5.515774064312848e-05,0,0,0,0,0,1,-90,90
93,92,0.006621466345166969,0.0019641203540719998,1.4210770354819006e-05,0,0,0,0,0,1,-90,90
9,10,0.00036634625,0.000108669,7.862401102286105e-07,0,0,0,0,0,1,-90,90
9,11,0.0147599825,0.004378242,3.1677382442900294e-05,0,0,0,0,0,1,-90,90
10,13,0.07464389053638366,0.02214155854112954,0.00016019822974363358,0,0,0,0,0,1,-90,90
10,20,0.08015213420141913,0.0502047380416365,6.4445890063077426e-06,0,0,0,0,0,1,-90,90
11,14,0.0026062618432712284,0.000773093400700679,5.59347229277819e-06,0,0,0,0,0,1,-90,90
11,15,0.02178996174454357,0.006463539214111801,4.6764889565287326e-05,0,0,0,0,0,1,-90,90
13,16,0.004948966707449098,0.0030998747519297267,3.979189918419513e-07,0,0,0,0,0,1,-90,90
13,12,0.07683196378595471,0.022790604988193307,0.00016489419961620907,0,0,0,0,0,1,-90,90
20,126,0.1321406673075738,0.08276869546795328,1.0624698896682418e-05,0,0,0,0,0,1,-90,90
15,125,0.00371219,0.001101144,7.966978438538801e-06,0,0,0,0,0,1,-90,90
12,17,0.00255441125,0.000757713,5.4821922778497185e-06,0,0,0,0,0,1,-90,90
19,124,0.001871225,0.00055506,4.015960720936905e-06,0,0,0,0,0,1,-90,90
21,95,0.009877254534946823,0.00618679691362219,7.941753095240045e-07,0,0,0,0,0,1,-90,90
95,23,0.005022356820367676,0.001489777753457378,1.0778814796257079e-05,0,0,0,0,0,1,-90,90
23,24,0.0003968089708882618,0.00022344582826717656,3.872969779638337e-05,0,0,0,0,0,1,-90,90
23,25,0.003442661494275522,0.0019385860841551485,0.00033601367174252247,0,0,0,0,0,1,-90,90
30,34,0.0033261694115339917,0.0018729886006696268,0.00032464370913771735,0,0,0,0,0,1,-90,90
30,24,0.0027586683479597454,0.007418267826446374,5.1271386553036e-06,0,0,0,0,0,1,-90,90
30,29,0.010334536893823514,0.006473223984681507,8.309428503032619e-07,0,0,0,0,0,1,-90,90
34,39,0.0004763725,0.000141306,1.0223747804430337e-06,0,0,0,0,0,1,-90,90
34,31,0.001710795251737504,0.0009633604330172355,0.00016697854119316025,0,0,0,0,0,1,-90,90
24,96,0.005075277217593997,0.0015054754892638374,1.0892390788773896e-05,0,0,0,0,0,1,-90,90
29,26,0.0043699,0.00129624,9.37853371690854e-06,0,0,0,0,0,1,-90,90
