BUS_I,BUS_TYPE,Pd,Qd,Gs,Bs,area,Vm,Va,baseKV,zone,Vmax,Vmin
1,1,0.31360262267380934,0.1518846822960502,0,0,1,1,0,20,1,1.05,0.95
2,1,0.0,0.0,0,0,1,1,0,20,1,1.05,0.95
4,1,0.0,0.0,0,0,1,1,0,20,1,1.05,0.95
132,1,0.0,0.0,0,0,1,1,0,20,1,1.05,0.95
131,1,0.35187900479703943,0.17042278025155094,0,0,1,1,0,20,1,1.05,0.95
84,1,0.1658619210829878,0.08033059473136245,0,0,1,1,0,20,1,1.05,0.95
7,1,0.0,0.0,0,0,1,1,0,20,1,1.05,0.95
6,1,0.0,0.0,0,0,1,1,0,20,1,1.05,0.95
57,1,0.0,0.0,0,0,1,1,0,20,1,1.05,0.95
156,1,0.07221944127475698,0.034977471808403986,0,0,1,1,0,20,1,1.05,0.95
8,1,0.2829267752385933,0.1370276912985415,0,0,1,1,0,20,1,1.05,0.95
46,1,0.0,0.0,0,0,1,1,0,20,1,1.05,0.95
9,1,0.313226333548138,0.15170243715467746,0,0,1,1,0,20,1,1.05,0.95
10,1,0.0,0.0,0,0,1,1,0,20,1,1.05,0.95
56,1,0.15778061697826443,0.07641664051752804,0,0,1,1,0,20,1,1.05,0.95
37,1,0.0,0.0,0,0,1,1,0,20,1,1.05,0.95
160,1,0.09244536685965914,0.04477333465997757,0,0,1,1,0,20,1,1.05,0.95
82,3,0.0,0.0,0,0,1,1,0,20,1,1.05,0.95
81,1,0.2727674281173875,0.13210729491702078,0,0,1,1,0,20,1,1.05,0.95
45,1,0.0,0.0,0,0,1,1,0,20,1,1.05,0.95
190,1,0.2682553757160027,0.1299220082008434,0,0,1,1,0,20,1,1.05,0.95
11,1,0.0,0.0,0,0,1,1,0,20,1,1.05,0.95
12,1,0.0,0.0,0,0,1,1,0,20,1,1.05,0.95
162,1,0.2303936596281303,0.11158474217239184,0,0,1,1,0,20,1,1.05,0.95
13,1,0.0,0.0,0,0,1,1,0,20,1,1.05,0.95
14,1,0.0,0.0,0,0,1,1,0,20,1,1.05,0.95
15,1,0.0,0.0,0,0,1,1,0,20,1,1.05,0.95
170,1,0.09596764919686852,0.04647925385536801,0,0,1,1,0,20,1,1.05,0.95
130,1,0.27609949450951177,0.13372108832551385,0,0,1,1,0,20,1,1.05,0.95
139,1,0.19403519747791906,0.09397553525513413,0,0,1,1,0,20,1,1.05,0.95
140,1,0.0,0.0,0,0,1,1,0,20,1,1.05,0.95
158,1,0.06856672885805021,0.0332083824423772,0,0,1,1,0,20,1,1.05,0.95
16,1,0.24927743679403308,0.12073057287667086,0,0,1,1,0,20,1,1.05,0.95
18,1,0.0,0.0,0,0,1,1,0,20,1,1.05,0.95
19,1,0.3335649610600433,0.1615528840407565,0,0,1,1,0,20,1,1.05,0.95
17,1,0.0,0.0,0,0,1,1,0,20,1,1.05,0.95
23,1,0.0,0.0,0,0,1,1,0,20,1,1.05,0.95
20,1,0.0,0.0,0,0,1,1,0,20,1,1.05,0.95
21,1,0.0,0.0,0,0,1,1,0,20,1,1.05,0.95
125,1,0.18377518124697734,0.08900638259849392,0,0,1,1,0,20,1,1.05,0.95
44,1,0.17601279301790557,0.0852468863928213,0,0,1,1,0,20,1,1.05,0.95
25,1,0.323511418856571,0.1566837313196946,0,0,1,1,0,20,1,1.05,0.95
22,1,0.0,0.0,0,0,1,1,0,20,1,1.05,0.95
24,1,0.0,0.0,0,0,1,1,0,20,1,1.05,0.95
184,1,0.3391142082782557,0.16424050713374674,0,0,1,1,0,20,1,1.05,0.95
80,1,0.39395873809575926,0.1908029252538024,0,0,1,1,0,20,1,1.05,0.95
154,1,0.10139734652074375,0.04910897629189972,0,0,1,1,0,20,1,1.05,0.95
152,1,0.0,0.0,0,0,1,1,0,20,1,1.05,0.95
148,1,0.0,0.0,0,0,1,1,0,20,1,1.05,0.95
147,1,0.39084080527162335,0.18929284146567388,0,0,1,1,0,20,1,1.05,0.95
74,1,0.0,0.0,0,0,1,1,0,20,1,1.05,0.95
76,1,0.0,0.0,0,0,1,1,0,20,1,1.05,0.95
73,1,0.4034005139433674,0.1953757860057232,0,0,1,1,0,20,1,1.05,0.95
77,1,0.0,0.0,0,0,1,1,0,20,1,1.05,0.95
153,1,0.07769977266555873,0.037631717442806044,0,0,1,1,0,20,1,1.05,0.95
32,1,0.35007464441471475,0.16954888863329742,0,0,1,1,0,20,1,1.05,0.95
33,1,0.0,0.0,0,0,1,1,0,20,1,1.05,0.95
34,1,0.0,0.0,0,0,1,1,0,20,1,1.05,0.95
35,1,0.0,0.0,0,0,1,1,0,20,1,1.05,0.95
36,1,0.0,0.0,0,0,1,1,0,20,1,1.05,0.95
138,1,0.1541590456783757,0.07466263348274559,0,0,1,1,0,20,1,1.05,0.95
177,1,0.20529736409574253,0.099430051496513,0,0,1,1,0,20,1,1.05,0.95
38,1,0.0,0.0,0,0,1,1,0,20,1,1.05,0.95
146,1,0.07443827010037245,0.03605209965550097,0,0,1,1,0,20,1,1.05,0.95
39,1,0.0,0.0,0,0,1,1,0,20,1,1.05,0.95
55,1,0.19977114016884542,0.09675357909243289,0,0,1,1,0,20,1,1.05,0.95
145,1,0.09121687672884514,0.04417834973404921,0,0,1,1,0,20,1,1.05,0.95
40,1,0.3736219115201409,0.18095335060097656,0,0,1,1,0,20,1,1.05,0.95
41,1,0.07438225004608416,0.036024967904894935,0,0,1,1,0,20,1,1.05,0.95
42,1,0.21406705578184176,0.10367740703270359,0,0,1,1,0,20,1,1.05,0.95
43,1,0.0,0.0,0,0,1,1,0,20,1,1.05,0.95
78,1,0.0,0.0,0,0,1,1,0,20,1,1.05,0.95
79,1,0.0,0.0,0,0,1,1,0,20,1,1.05,0.95
175,1,0.46781609659228807,0.22657367657860508,0,0,1,1,0,20,1,1.05,0.95
47,1,0.12674029475040902,0.06138312632128793,0,0,1,1,0,20,1,1.05,0.95
49,1,0.0,0.0,0,0,1,1,0,20,1,1.05,0.95
48,1,0.0,0.0,0,0,1,1,0,20,1,1.05,0.95
51,1,0.0,0.0,0,0,1,1,0,20,1,1.05,0.95
50,1,0.0,0.0,0,0,1,1,0,20,1,1.05,0.95
65,1,0.0,0.0,0,0,1,1,0,20,1,1.05,0.95
66,1,0.0,0.0,0,0,1,1,0,20,1,1.05,0.95
64,1,0.22957735993305725,0.11118939018589556,0,0,1,1,0,20,1,1.05,0.95
67,1,0.07097700453050208,0.034375732229298565,0,0,1,1,0,20,1,1.05,0.95
127,1,0.2106373657366403,0.10201633233107019,0,0,1,1,0,20,1,1.05,0.95
126,1,0.22616350695781692,0.1095359857273202,0,0,1,1,0,20,1,1.05,0.95
68,1,0.0,0.0,0,0,1,1,0,20,1,1.05,0.95
52,1,0.06259967583757901,0.030318406763823528,0,0,1,1,0,20,1,1.05,0.95
69,1,0.0,0.0,0,0,1,1,0,20,1,1.05,0.95
178,1,0.09634542968339956,0.04666222129577139,0,0,1,1,0,20,1,1.05,0.95
189,1,0.2093448905936275,0.10139035804935562,0,0,1,1,0,20,1,1.05,0.95
58,1,0.3003317088078832,0.145457285359383,0,0,1,1,0,20,1,1.05,0.95
59,1,0.0,0.0,0,0,1,1,0,20,1,1.05,0.95
61,1,0.08237020768115245,0.03989371236006681,0,0,1,1,0,20,1,1.05,0.95
62,1,0.20870344019236242,0.10107968944086584,0,0,1,1,0,20,1,1.05,0.95
106,1,0.0,0.0,0,0,1,1,0,20,1,1.05,0.95
86,1,0.0,0.0,0,0,1,1,0,20,1,1.05,0.95
90,1,0.0,0.0,0,0,1,1,0,20,1,1.05,0.95
85,1,0.3993067777549922,0.19339309907831842,0,0,1,1,0,20,1,1.05,0.95
117,1,0.3632870036633804,0.17594792627448505,0,0,1,1,0,20,1,1.05,0.95
107,1,0.0,0.0,0,0,1,1,0,20,1,1.05,0.95
123,1,0.0,0.0,0,0,1,1,0,20,1,1.05,0.95
179,1,0.2621456476625707,0.12696293185001833,0,0,1,1,0,20,1,1.05,0.95
75,1,0.0,0.0,0,0,1,1,0,20,1,1.05,0.95
192,1,0.06830445543658104,0.033081357626848225,0,0,1,1,0,20,1,1.05,0.95
149,1,0.9191412762597815,0.4451604375614875,0,0,1,1,0,20,1,1.05,0.95
150,1,0.2658983048938228,0.12878042669899334,0,0,1,1,0,20,1,1.05,0.95
151,1,0.0,0.0,0,0,1,1,0,20,1,1.05,0.95
169,1,0.0,0.0,0,0,1,1,0,20,1,1.05,0.95
155,1,0.0,0.0,0,0,1,1,0,20,1,1.05,0.95
173,1,0.09307573778264308,0.045078637232225736,0,0,1,1,0,20,1,1.05,0.95
87,1,0.0,0.0,0,0,1,1,0,20,1,1.05,0.95
88,1,0.0,0.0,0,0,1,1,0,20,1,1.05,0.95
180,1,0.3053545595523172,0.14788996300421367,0,0,1,1,0,20,1,1.05,0.95
89,1,0.0,0.0,0,0,1,1,0,20,1,1.05,0.95
172,1,0.34874571425516815,0.16890525838124332,0,0,1,1,0,20,1,1.05,0.95
174,1,0.30268843824501085,0.146598701520906,0,0,1,1,0,20,1,1.05,0.95
105,1,0.28506761457418944,0.13806454711167712,0,0,1,1,0,20,1,1.05,0.95
181,1,0.0,0.0,0,0,1,1,0,20,1,1.05,0.95
182,1,0.0,0.0,0,0,1,1,0,20,1,1.05,0.95
124,1,0.3306361215406306,0.16013438231998225,0,0,1,1,0,20,1,1.05,0.95
119,1,0.057904888220229433,0.028044617343222094,0,0,1,1,0,20,1,1.05,0.95
120,1,0.0,0.0,0,0,1,1,0,20,1,1.05,0.95
121,1,0.070383753484465,0.03408840763398463,0,0,1,1,0,20,1,1.05,0.95
122,1,0.0,0.0,0,0,1,1,0,20,1,1.05,0.95
141,1,0.0,0.0,0,0,1,1,0,20,1,1.05,0.95
183,1,0.3349994331827595,0.16224763059856162,0,0,1,1,0,20,1,1.05,0.95
